transect,id,long,lat
1,1,-121.5501577257079,30.599255394397186
1,2,-124.34008267722062,33.132698059094885
2,3,-119.9784012378657,30.88455858885988
2,4,-127.37933220281391,37.24508154718689
3,5,-118.52378047616801,31.289080747682576
3,6,-128.7192981917133,39.75546698447821
4,7,-120.64674269650509,35.00447933597662
4,8,-128.74533329031527,41.24509751556752
4,9,-117.8941946225052,32.4958736376107
4,10,-119.54103218998733,34.02171655667714
4,11,-119.57410865316871,34.051597379010836
4,12,-120.01963447416856,34.45117153267834
5,13,-123.78172069515371,39.21019963997375
5,14,-129.16198439571318,42.948791376777876
6,15,-124.13333519483835,41.02580524204675
6,16,-124.15788705327346,41.04341059951382
6,17,-124.16724911783803,41.05011998716496
6,18,-128.86039925237927,44.15675365197248
7,19,-124.5720512623701,42.83843674050406
7,20,-128.73943473573433,45.45141575598908
8,21,-124.14688834398255,44.027280359785316
8,22,-128.80179072815173,46.81857160555791
9,23,-123.98280085673616,45.365125180482494
9,24,-127.58043856867599,47.46176299284601
10,25,-124.13245531462884,46.85899123064591
10,26,-126.21115608445716,48.03111138015494
11,27,-119.60058428793197,30.95255766254116
11,28,-117.73015711897996,33.4695848443346
12,29,-121.33913947330917,30.637661952926056
12,30,-119.46916146792309,33.21482014834022
12,31,-119.4469493129108,33.244403309373084
12,32,-118.85394347475633,34.025364932442145
13,33,-120.39169396093943,34.05292036655775
13,34,-120.08816238524079,34.45245691946169
13,35,-122.555710712518,31.07115831820643
13,36,-120.4076648215524,34.031772111322056
14,37,-123.50787578523548,31.90061314931046
14,38,-120.90743511922642,35.436192865491186
15,39,-124.28408320365935,32.99685186883856
15,40,-121.8572927985301,36.26427697575359
16,41,-125.02372236908494,34.157258832226034
16,42,-122.50398576326856,37.49077290324186
17,43,-125.82176234330491,35.24871143721895
17,44,-123.29988443507962,38.53577587798744
18,45,-126.75656327277669,36.1674219363714
18,46,-123.89229356237404,39.835839146174976
19,47,-127.48024642568522,37.38502778810941
19,48,-124.11239809308351,41.56529004880597
20,49,-128.15866896640046,38.66834836631927
20,50,-124.42323127907055,43.156896073065
21,51,-128.78616167336722,40.01856582275223
21,52,-123.96373630000001,45.51845954513733
22,53,-128.97553654639282,41.899409080347056
22,54,-124.19527387038252,47.086199741104004
23,55,-128.89513963243536,44.03891901160207
23,56,-124.71358812660114,48.34510953818653
24,57,-128.87204377887534,46.02995899504922
24,58,-127.38397777734824,47.55625453653596
